               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.055319,            0.023891,                   0,             0.88223,             0.82353,             0.92084,             0.56271,            0.052579,           0.0077834,                   0,            0.036838,           0.0068383,           0.0068383
                  71,            0.050657,            0.026312,                   0,             0.54087,             0.76471,             0.64177,             0.28188,            0.054357,           0.0081403,                   0,            0.035934,           0.0069336,           0.0069336
                  72,            0.060376,            0.032878,                   0,             0.75519,             0.70588,             0.83795,             0.35709,            0.047951,            0.008142,                   0,            0.035029,           0.0070289,           0.0070289
                  73,            0.049774,            0.023948,                   0,             0.56974,             0.76471,             0.70983,             0.36095,            0.054788,            0.007627,                   0,            0.034124,           0.0071241,           0.0071241
                  74,            0.051648,            0.021402,                   0,             0.83276,             0.76471,              0.8407,             0.35548,            0.042077,           0.0076163,                   0,            0.033219,           0.0072193,           0.0072193
                  75,             0.06194,            0.024353,                   0,             0.80286,             0.76471,             0.79601,             0.44431,            0.044629,           0.0070977,                   0,            0.032314,           0.0073144,           0.0073144
                  76,            0.046874,            0.027447,                   0,             0.44928,             0.88235,              0.6013,             0.28365,             0.04845,            0.007781,                   0,            0.031409,           0.0074094,           0.0074094
                  77,            0.054973,            0.029846,                   0,             0.81338,             0.76942,             0.88801,             0.41468,            0.051598,           0.0072823,                   0,            0.030504,           0.0075043,           0.0075043
                  78,            0.048915,            0.024778,                   0,             0.58375,             0.76471,              0.7638,             0.43268,            0.053385,           0.0082366,                   0,            0.029599,           0.0075992,           0.0075992
                  79,            0.050405,            0.029958,                   0,             0.57112,             0.82353,              0.7561,             0.36568,            0.044168,           0.0084374,                   0,            0.028694,            0.007694,            0.007694
                  80,            0.053771,            0.021763,                   0,             0.71579,             0.82353,             0.73285,             0.25498,            0.060317,           0.0075722,                   0,            0.027789,           0.0077888,           0.0077888
                  81,            0.051518,            0.027225,                   0,             0.63034,             0.64706,             0.76915,             0.44069,            0.054329,           0.0072939,                   0,            0.026883,           0.0078835,           0.0078835
                  82,            0.053171,            0.023314,                   0,             0.82587,             0.64706,              0.8414,             0.34945,            0.046378,           0.0070739,                   0,            0.025978,           0.0079781,           0.0079781
